,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,350000.0,0,1,2,35,1,-2,-2,-2,-2,-2,220,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1,260000.0,1,2,1,30,-1,-1,-1,0,-1,-1,7168,5583,4979.0,43546.0,2398.0,5525.0,5588.0,5000.0,39000.0,2456.0,5584.0,5574.0,0
2,360000.0,1,3,2,41,-2,-2,-2,-2,-2,-2,316,4063,300.0,500.0,0.0,389.0,4107.0,311.0,505.0,0.0,390.0,590.0,0
3,120000.0,1,1,2,45,1,-1,-1,-1,0,-2,0,552,13347.0,4383.0,80.0,150.0,550.0,13337.0,4562.0,1.0,150.0,2379.0,0
4,50000.0,1,1,2,37,-1,-1,-1,-1,-1,-1,3056,0,3421.0,303.0,325.0,1390.0,0.0,3421.0,302.0,325.0,2620.0,0.0,0
5,190000.0,1,2,2,42,0,-1,0,0,0,0,60380,63444,70237.0,99217.0,142188.0,146411.0,65758.0,10575.0,50000.0,0.0,50000.0,0.0,0
6,300000.0,0,2,1,45,-1,-1,-1,-1,-1,-2,2316,1734,-15.0,806.0,0.0,684.0,1725.0,0.0,816.0,0.0,690.0,5335.0,0
7,60000.0,1,2,2,49,-1,2,2,2,2,2,66053,67259,67282.0,14353.0,12037.0,11419.0,0.0,5229.0,0.0,710.0,0.0,3495.0,1
8,190000.0,0,3,2,55,0,0,0,0,0,0,7111,7963,10060.0,11328.0,11427.0,0.0,6015.0,10012.0,9000.0,3500.0,0.0,3090.0,0
9,90000.0,1,2,2,41,0,0,0,0,0,0,61708,59936,47536.0,31371.0,32946.0,34173.0,3000.0,2018.0,1100.0,2627.0,3000.0,2000.0,0
10,140000.0,1,1,2,40,0,0,0,0,0,0,67371,69527,69584.0,70891.0,74183.0,78380.0,3003.0,3800.0,5000.0,5900.0,5012.0,3000.0,0
11,20000.0,0,2,2,54,0,0,0,0,0,2,19657,19810,19853.0,20236.0,11241.0,0.0,1326.0,1630.0,1257.0,9537.0,0.0,0.0,1
12,30000.0,0,3,1,42,0,0,0,-2,-2,-2,20328,10858,0.0,0.0,0.0,0.0,1383.0,0.0,0.0,0.0,1700.0,1606.0,1
13,140000.0,1,2,2,38,0,0,0,0,0,0,135134,137999,139414.0,61586.0,68248.0,69313.0,4900.0,6203.0,2806.0,10000.0,10100.0,0.0,0
14,300000.0,1,1,2,54,-1,-1,-1,-1,-1,-1,3780,82620,37528.0,16416.0,9279.0,2460.0,84459.0,37272.0,16683.0,9096.0,2505.0,0.0,0
