,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,3,4.0,0,5,18424.0,4,4,4.0,3,1,1.0,3,75.0,0,1,1.0,3,1.0,1,1,1
1,3,4.0,1,1,18424.0,4,4,1.0,0,2,4.0,1,19.0,0,2,1.0,0,1.0,1,1,1
2,3,4.0,4,3,250.0,2,3,1.0,3,2,1.0,0,75.0,0,0,1.0,1,1.0,1,1,1
3,0,4.0,1,5,250.0,4,0,4.0,3,2,1.0,0,19.0,2,2,1.0,1,1.0,0,1,1
4,3,4.0,4,7,250.0,0,0,1.0,2,2,1.0,0,75.0,2,1,1.0,3,1.0,0,1,1
5,3,4.0,3,8,250.0,4,4,1.0,3,2,1.0,0,75.0,1,0,1.0,0,1.0,1,1,1
6,3,4.0,1,9,250.0,4,4,4.0,3,2,4.0,3,19.0,1,2,1.0,1,1.0,1,1,1
7,3,72.0,1,8,18424.0,1,3,1.0,3,2,1.0,1,75.0,0,0,1.0,0,1.0,1,1,1
8,3,4.0,0,1,18424.0,2,3,4.0,3,1,1.0,3,75.0,1,0,1.0,0,1.0,1,1,0
9,0,72.0,4,9,18424.0,2,4,4.0,3,2,1.0,0,19.0,2,0,1.0,0,1.0,1,1,1
10,0,4.0,2,8,250.0,0,0,4.0,3,2,1.0,3,19.0,2,0,1.0,0,1.0,0,0,0
11,3,72.0,0,0,250.0,3,0,4.0,3,2,1.0,3,19.0,0,2,1.0,3,1.0,0,1,1
12,0,72.0,1,0,250.0,4,0,4.0,0,2,1.0,0,19.0,1,2,1.0,3,1.0,0,0,0
13,2,4.0,3,9,250.0,4,0,1.0,3,1,1.0,0,19.0,0,2,4.0,0,1.0,0,1,1
14,3,4.0,1,6,250.0,0,1,1.0,3,2,1.0,3,75.0,1,1,1.0,3,1.0,1,1,1
15,3,4.0,2,1,18424.0,2,0,1.0,3,2,1.0,3,19.0,1,1,1.0,3,1.0,0,1,1
16,3,4.0,4,0,250.0,0,1,1.0,0,2,4.0,3,19.0,0,2,1.0,2,1.0,0,0,0
17,0,4.0,1,9,250.0,0,4,4.0,3,2,4.0,3,75.0,1,0,1.0,0,1.0,1,0,0
18,0,4.0,0,1,250.0,0,0,1.0,0,2,1.0,3,75.0,0,2,1.0,3,1.0,0,1,0
19,3,4.0,2,1,250.0,2,4,4.0,1,2,1.0,0,19.0,1,0,1.0,0,1.0,1,1,0
20,3,4.0,4,4,250.0,0,4,4.0,3,2,4.0,3,75.0,2,0,1.0,0,1.0,1,1,0
21,3,4.0,0,9,18424.0,2,4,1.0,3,1,4.0,3,75.0,0,0,4.0,0,1.0,1,0,1
22,0,72.0,4,8,18424.0,3,2,1.0,0,2,1.0,0,19.0,0,0,1.0,0,1.0,0,0,0
23,2,4.0,4,9,18424.0,4,4,1.0,3,2,4.0,0,75.0,0,0,4.0,0,1.0,1,1,1
24,3,4.0,3,5,250.0,3,4,4.0,1,2,4.0,3,75.0,1,1,1.0,2,1.0,1,1,1
25,0,4.0,2,7,18424.0,0,4,1.0,0,2,1.0,0,75.0,0,0,1.0,0,1.0,1,1,1
26,3,4.0,4,9,250.0,1,4,4.0,3,2,1.0,0,19.0,2,0,1.0,0,1.0,1,1,1
27,3,72.0,4,4,18424.0,1,2,1.0,3,1,1.0,3,75.0,0,0,4.0,0,1.0,0,0,1
28,0,4.0,2,8,250.0,0,2,1.0,0,2,1.0,0,75.0,0,0,1.0,0,1.0,1,1,1
29,3,4.0,2,1,250.0,4,4,4.0,3,2,4.0,3,19.0,0,2,1.0,3,1.0,0,1,0
30,0,72.0,3,0,250.0,4,0,1.0,0,2,1.0,1,19.0,0,2,4.0,3,1.0,0,1,0
31,2,4.0,3,7,250.0,4,0,1.0,3,2,4.0,3,75.0,2,2,1.0,0,1.0,1,1,1
32,3,4.0,4,9,250.0,0,0,1.0,0,2,4.0,3,75.0,2,2,1.0,3,1.0,0,1,1
33,3,4.0,0,6,18424.0,2,0,1.0,3,1,1.0,0,19.0,0,0,1.0,1,1.0,1,1,1
34,3,4.0,1,9,250.0,4,3,1.0,3,2,4.0,3,75.0,0,1,1.0,3,1.0,0,1,1
35,3,4.0,4,2,250.0,0,0,4.0,3,2,4.0,1,19.0,2,1,1.0,1,1.0,0,1,1
36,0,72.0,4,2,18424.0,3,4,1.0,2,2,1.0,0,19.0,0,0,1.0,0,1.0,0,1,1
37,0,4.0,1,0,250.0,0,0,1.0,1,2,1.0,2,75.0,2,0,1.0,2,1.0,1,1,1
38,3,4.0,4,9,250.0,0,4,1.0,3,2,4.0,0,75.0,1,0,1.0,0,1.0,1,1,1
39,3,4.0,1,0,250.0,0,0,1.0,0,2,4.0,3,19.0,1,2,1.0,3,1.0,0,0,0
40,3,4.0,4,9,250.0,4,4,4.0,3,2,4.0,0,19.0,1,1,1.0,0,1.0,1,1,1
41,0,4.0,3,3,250.0,2,0,4.0,0,2,4.0,0,19.0,1,2,1.0,3,1.0,0,0,0
42,0,4.0,4,9,250.0,4,2,1.0,3,2,1.0,0,19.0,2,0,1.0,0,1.0,0,1,1
43,0,4.0,0,1,250.0,0,0,1.0,0,2,1.0,0,19.0,0,1,1.0,0,1.0,0,0,1
