,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
0,3,4.0,0,0,18424.0,2,3,1.0,0,0,1.0,2,19.0,0,1,1.0,3,1.0,1,0,0
1,1,72.0,4,8,18424.0,4,0,1.0,3,0,1.0,3,75.0,1,2,1.0,1,1.0,0,0,0
2,0,4.0,4,9,250.0,4,0,1.0,3,2,1.0,0,19.0,2,0,1.0,1,1.0,0,1,1
3,2,4.0,4,0,250.0,1,0,1.0,2,2,1.0,2,19.0,2,0,1.0,1,1.0,0,1,1
4,3,72.0,4,0,250.0,0,0,1.0,2,2,1.0,3,19.0,0,0,1.0,0,1.0,1,1,1
5,2,4.0,4,2,250.0,1,0,1.0,3,2,1.0,0,19.0,0,0,1.0,3,1.0,0,1,1
6,3,4.0,3,0,250.0,1,1,1.0,3,0,1.0,3,19.0,0,2,4.0,0,1.0,0,1,0
7,3,72.0,3,9,18424.0,0,0,1.0,0,2,4.0,3,19.0,2,1,4.0,2,2.0,0,1,1
8,0,72.0,0,4,18424.0,0,4,1.0,1,0,1.0,3,19.0,0,2,4.0,0,1.0,1,1,1
9,3,4.0,3,7,250.0,4,2,4.0,3,2,1.0,0,19.0,1,2,1.0,0,1.0,0,1,1
10,3,4.0,0,0,18424.0,0,4,1.0,0,0,1.0,1,19.0,0,0,1.0,3,2.0,0,0,1
11,3,4.0,3,9,18424.0,1,0,1.0,0,2,4.0,3,19.0,2,2,1.0,3,1.0,0,0,0
12,0,4.0,1,9,18424.0,1,4,1.0,0,0,1.0,3,75.0,2,2,4.0,2,2.0,1,0,0
13,0,4.0,4,9,250.0,0,4,1.0,0,1,1.0,3,19.0,2,1,1.0,2,2.0,1,0,0
14,2,4.0,2,5,250.0,0,1,4.0,3,2,4.0,0,19.0,1,1,1.0,3,1.0,1,1,1
15,2,4.0,0,5,250.0,1,3,1.0,2,1,4.0,2,19.0,2,2,4.0,0,1.0,1,1,0
16,1,72.0,3,9,18424.0,4,4,1.0,0,0,1.0,2,19.0,0,0,1.0,2,1.0,1,0,1
17,2,4.0,2,9,18424.0,0,0,1.0,1,2,1.0,3,19.0,2,2,4.0,0,1.0,1,1,0
18,3,4.0,4,2,250.0,4,0,1.0,3,2,4.0,0,19.0,0,0,1.0,2,1.0,0,1,0
19,3,72.0,4,7,18424.0,4,0,1.0,3,1,1.0,2,19.0,2,0,1.0,3,2.0,0,0,0
20,0,4.0,4,9,250.0,4,4,1.0,3,0,1.0,1,75.0,0,0,4.0,1,1.0,1,1,1
21,3,4.0,4,4,250.0,1,2,4.0,3,2,1.0,0,19.0,0,0,1.0,3,1.0,1,1,1
22,0,4.0,0,8,18424.0,2,3,1.0,0,0,1.0,3,19.0,2,2,1.0,0,2.0,1,0,0
23,3,4.0,2,3,250.0,2,2,1.0,0,2,1.3414766788482666,1,19.0,2,0,1.0,0,1.0,1,1,1
24,0,4.0,4,1,250.0,4,3,1.0,1,0,1.0,3,19.0,2,2,1.0,2,2.0,0,0,0
25,2,4.0,1,0,250.0,0,4,4.0,3,2,1.0,1,19.0,0,2,4.0,3,2.0,1,0,0
26,3,72.0,4,0,250.0,0,0,1.0,1,2,4.0,0,19.0,0,0,1.0,3,1.0,0,1,1
27,1,4.0,1,0,250.0,0,4,1.0,3,2,1.0,1,19.0,1,0,1.0,1,2.0,0,1,1
28,3,72.0,4,9,18424.0,4,0,1.0,3,0,1.0,1,19.0,0,0,1.0,0,2.0,0,0,1
29,3,4.0,0,0,250.0,1,4,4.0,0,1,4.0,1,19.0,0,2,1.0,3,1.0,0,1,1
30,3,72.0,4,9,250.0,4,0,4.0,3,2,1.0,0,19.0,0,0,1.0,0,1.0,0,1,1
31,0,72.0,0,0,250.0,1,0,1.0,2,1,1.0,3,19.0,2,2,4.0,0,1.0,0,1,0
32,3,72.0,0,0,250.0,0,0,1.0,0,1,4.0,3,19.0,2,2,4.0,0,1.0,1,1,0
33,2,4.0,4,3,18424.0,1,2,1.0,0,0,1.0,3,19.0,0,0,4.0,0,1.0,0,0,1
34,2,72.0,0,8,18424.0,3,4,1.0,0,0,1.0,3,19.0,0,2,4.0,1,2.0,1,0,1
35,2,72.0,0,0,250.0,2,0,4.0,1,2,1.0,0,19.0,2,2,1.0,3,1.0,0,1,0
36,2,72.0,0,0,18424.0,2,4,1.0,0,0,1.0,3,19.0,0,2,4.0,0,2.0,0,0,1
37,1,72.0,0,1,250.0,1,0,1.0,0,2,1.0,2,19.0,2,2,1.0,1,1.0,0,1,1
38,3,4.0,0,0,18424.0,0,1,1.0,0,2,1.0,1,19.0,0,1,4.0,3,1.0,0,1,1
39,2,4.0,0,0,18424.0,0,3,1.0,0,0,1.0,3,19.0,1,1,1.0,0,2.0,1,0,0
40,0,4.0,0,5,250.0,1,4,4.0,0,0,1.0,3,19.0,2,2,4.0,2,1.0,1,0,1
41,3,72.0,2,0,250.0,2,0,4.0,3,2,4.0,0,19.0,1,0,1.0,0,1.0,0,1,1
