checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
no checking,15,critical/other existing credit,furniture/equipment,1366,<100,>=7,2,male single,none,4,life insurance,65,none,own,2,unskilled resident,1,yes,yes,good
<0,9,critical/other existing credit,other,2214,<100,4<=X<7,2,male single,none,4,real estate,52,none,own,2,skilled,1,yes,yes,good
no checking,47,no credits/all paid,repairs,10722,<100,>=7,2,female div/dep/mar,none,4,life insurance,38,none,for free,1,skilled,2,none,yes,bad
<0,9,existing paid,new car,385,<100,>=7,4,male single,none,4,life insurance,51,none,own,2,skilled,1,yes,yes,good
>=200,24,existing paid,used car,1659,<100,1<=X<4,4,male single,none,4,life insurance,63,none,own,3,unskilled resident,1,yes,yes,bad
no checking,18,existing paid,repairs,1936,<100,1<=X<4,4,male div/sep,none,2,car,54,none,rent,2,skilled,1,none,no,good
>=200,21,existing paid,furniture/equipment,1546,<100,>=7,3,male single,none,4,life insurance,50,none,own,2,skilled,1,yes,yes,good
>=200,24,all paid,used car,3660,<100,<1,2,female div/dep/mar,guarantor,4,life insurance,24,none,rent,2,skilled,1,none,yes,good
no checking,10,critical/other existing credit,furniture/equipment,2214,<100,4<=X<7,3,male single,none,3,real estate,45,none,rent,2,unskilled resident,1,yes,no,good
>=200,18,existing paid,new car,2389,<100,1<=X<4,3,male single,none,4,life insurance,36,none,own,2,skilled,1,none,yes,good
no checking,10,critical/other existing credit,new car,674,<100,>=7,4,female div/dep/mar,none,4,life insurance,67,none,own,3,unskilled resident,1,yes,no,good
<0,24,critical/other existing credit,business,1546,500<=X<1000,>=7,4,male single,none,4,life insurance,42,none,own,2,unskilled resident,1,yes,yes,bad
no checking,6,critical/other existing credit,radio/tv,1169,<100,>=7,4,male single,none,4,real estate,67,none,own,3,skilled,1,yes,yes,good
0<=X<200,24,all paid,new car,3660,<100,>=7,2,female div/dep/mar,guarantor,3,real estate,41,stores,rent,1,unskilled resident,1,yes,yes,good
0<=X<200,12,existing paid,new car,1107,<100,1<=X<4,2,male single,none,4,car,54,none,own,2,unskilled resident,1,none,yes,good
no checking,12,existing paid,new car,1053,<100,1<=X<4,2,male single,none,4,real estate,56,none,own,2,unskilled resident,1,yes,yes,good
no checking,48,existing paid,used car,6758,<100,4<=X<7,3,male single,none,4,no known property,42,bank,own,2,skilled,2,none,yes,good
0<=X<200,6,critical/other existing credit,new car,338,100<=X<500,>=7,4,male single,none,4,life insurance,47,none,own,1,skilled,2,yes,yes,good
0<=X<200,42,critical/other existing credit,furniture/equipment,3031,<100,>=7,4,male single,none,4,real estate,56,none,own,2,unskilled resident,1,none,yes,bad
<0,48,existing paid,furniture/equipment,7763,<100,4<=X<7,2,female div/dep/mar,none,4,no known property,24,none,rent,2,skilled,1,yes,yes,bad
<0,36,delayed previously,education,2671,<100,>=7,4,male single,none,4,life insurance,49,none,own,2,unskilled resident,1,yes,yes,good
no checking,21,all paid,new car,2384,<100,4<=X<7,2,female div/dep/mar,none,4,life insurance,36,bank,own,2,skilled,1,none,yes,good
0<=X<200,14,critical/other existing credit,furniture/equipment,795,<100,>=7,4,male single,none,2,life insurance,35,bank,own,3,unskilled resident,2,none,yes,bad
0<=X<200,8,critical/other existing credit,new car,1364,<100,4<=X<7,4,male single,none,4,no known property,48,none,own,2,skilled,2,yes,yes,good
0<=X<200,36,critical/other existing credit,education,4795,<100,>=7,4,male single,none,4,life insurance,47,none,own,2,skilled,1,none,yes,bad
0<=X<200,12,no credits/all paid,used car,709,<100,>=7,4,male single,none,4,real estate,63,stores,own,2,skilled,1,yes,yes,bad
<0,48,existing paid,used car,6758,<100,>=7,4,male single,none,4,no known property,42,none,own,2,high qualif/self emp/mgmt,2,none,yes,bad
0<=X<200,24,all paid,used car,1938,<100,1<=X<4,3,male single,none,4,car,42,none,own,2,unskilled resident,1,yes,yes,bad
no checking,60,critical/other existing credit,repairs,6288,<100,>=7,4,male single,none,4,no known property,60,none,own,1,unskilled resident,1,none,yes,good
<0,15,existing paid,furniture/equipment,2214,<100,4<=X<7,2,male single,none,2,car,35,none,own,2,unskilled resident,2,none,yes,bad
0<=X<200,30,existing paid,used car,2522,<100,>=7,4,male single,none,3,life insurance,48,none,own,2,skilled,1,none,yes,good
