,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,0,285981.0,1,2,2,39,0,0,0,0,0,-1,103348.0,98287.0,80429.0,97715.0,89899.0,85980.0,10138.0,32462.0,8993.0,3968.0,17668.0,9932.0,0
1,1,189419.0,2,1,1,27,2,3,1,0,1,1,217162.0,229161.0,259358.0,256090.0,178251.0,155121.0,14228.0,8040.0,21782.0,1970.0,2794.0,8469.0,0
2,2,135829.0,1,1,1,35,0,-1,-1,0,0,0,32274.0,32831.0,12385.0,-13187.0,5019.0,1019.0,8537.0,3409.0,31.0,302.0,2663.0,9111.0,0
3,3,135309.0,1,5,1,39,0,-1,-2,-2,-1,-1,-8489.0,-638.0,850.0,53638.0,15393.0,35038.0,90.0,215.0,1883.0,595.0,0.0,379.0,0
4,4,98488.0,2,2,1,36,-1,0,0,1,1,0,3674.0,34587.0,58678.0,43410.0,81111.0,67985.0,659.0,1969.0,194.0,503.0,74.0,29.0,0
5,5,56243.0,1,2,1,23,-1,1,0,2,2,1,97886.0,38469.0,73874.0,99097.0,63860.0,39169.0,432.0,13629.0,7340.0,2775.0,17.0,752.0,1
6,6,92303.0,2,1,2,22,-1,0,-1,0,-1,0,-37638.0,12181.0,32818.0,31678.0,28344.0,65788.0,8842.0,48123.0,4568.0,23195.0,15278.0,3082.0,0
7,7,85347.0,2,1,1,70,-1,0,0,0,-1,-1,100021.0,68783.0,88023.0,44343.0,24411.0,19374.0,21098.0,13252.0,3879.0,1877.0,334.0,4709.0,0
8,8,16167.0,2,1,1,40,0,-1,-1,-2,-1,0,-41108.0,-10441.0,-37358.0,-27562.0,-29771.0,-38095.0,572.0,848.0,430.0,378.0,0.0,17.0,0
9,9,157439.0,2,1,1,41,1,-1,0,0,-1,0,124789.0,76645.0,79012.0,52766.0,90299.0,84058.0,2756.0,6714.0,1001.0,10315.0,14.0,13636.0,1
10,10,99827.0,1,2,2,43,-1,-1,-1,-1,-1,-1,81160.0,56455.0,73786.0,96489.0,32581.0,14062.0,4266.0,16378.0,2385.0,1034.0,0.0,84.0,1
11,11,62531.0,1,5,2,28,-1,1,0,0,1,1,131575.0,118980.0,128980.0,117048.0,86942.0,58116.0,31151.0,15329.0,26651.0,1399.0,4829.0,2272.0,0
12,12,171240.0,2,3,2,34,0,-1,1,1,0,0,75449.0,66741.0,82342.0,80617.0,73611.0,72223.0,21766.0,11958.0,10758.0,30397.0,7521.0,7934.0,0
13,13,263015.0,2,3,1,36,1,0,0,0,1,1,41249.0,36728.0,25820.0,-12808.0,-1631.0,-26935.0,2668.0,2369.0,10888.0,4291.0,0.0,7611.0,0
14,14,284443.0,2,1,2,28,-1,-2,-2,-2,-1,-1,21636.0,13102.0,-8702.0,-1048.0,21227.0,2223.0,2275.0,1441.0,1870.0,3380.0,112.0,5546.0,0
15,15,281375.0,2,3,2,30,-1,-1,-2,-2,-1,-1,26836.0,-3953.0,-24943.0,-38776.0,-17912.0,-18538.0,8413.0,9574.0,7056.0,3260.0,398.0,6670.0,0
16,16,62534.0,1,1,2,47,0,-1,1,1,0,-1,69707.0,70841.0,76236.0,73489.0,40422.0,42406.0,6866.0,640.0,11561.0,11889.0,1952.0,7562.0,0
17,17,498774.0,2,2,1,49,-1,-1,-1,-1,-1,-1,117918.0,56331.0,63651.0,124763.0,119553.0,66168.0,9467.0,1261.0,5178.0,19480.0,10.0,764.0,0
18,18,482595.0,1,3,2,42,2,3,4,3,2,2,125128.0,153894.0,133081.0,185527.0,175343.0,149768.0,49632.0,40771.0,24076.0,57103.0,16558.0,25098.0,1
19,19,20831.0,2,2,1,25,1,1,1,0,0,-1,7472.0,34778.0,31931.0,61938.0,34260.0,53859.0,1972.0,1270.0,14438.0,7581.0,2205.0,3497.0,0
20,20,162705.0,1,2,2,42,1,-1,-1,0,-1,-1,-14790.0,-12498.0,-11062.0,13542.0,9585.0,23118.0,2605.0,102.0,719.0,44.0,3.0,4.0,1
21,21,55200.0,2,2,1,30,-2,-2,-1,-2,-2,-2,-63864.0,-31956.0,-51499.0,-58248.0,-38644.0,-67583.0,1560.0,1021.0,4731.0,6507.0,153.0,7266.0,0
22,22,26265.0,1,1,2,38,2,1,1,1,-1,-1,-49674.0,4838.0,5088.0,11632.0,9616.0,23035.0,2474.0,397.0,452.0,443.0,11.0,13.0,1
23,23,66890.0,2,1,1,25,0,0,-2,-1,-1,-1,45146.0,50275.0,75347.0,45154.0,37050.0,17249.0,7243.0,25176.0,12239.0,3968.0,2134.0,3254.0,0
24,24,231853.0,2,1,1,32,-1,-2,-1,-1,-1,-1,15245.0,16193.0,11401.0,32514.0,15821.0,53750.0,5596.0,1381.0,247.0,4061.0,0.0,280.0,1
25,25,78696.0,2,1,1,32,-2,-2,-2,-2,-1,-1,24271.0,-4525.0,-38296.0,667.0,-12429.0,-24281.0,2279.0,1225.0,755.0,226.0,70.0,1314.0,0
26,26,26628.0,1,1,2,24,1,1,1,0,-1,-1,50892.0,29461.0,29783.0,27889.0,5435.0,5480.0,49.0,2379.0,1.0,474.0,0.0,13.0,1
27,27,715311.0,2,1,2,30,0,-2,-2,-1,-1,-2,80986.0,64787.0,76961.0,73038.0,59895.0,56873.0,9147.0,2360.0,4131.0,4299.0,58.0,5794.0,1
28,28,232973.0,2,1,2,37,0,-1,-1,0,0,-1,96144.0,110887.0,60594.0,92479.0,74579.0,60373.0,3369.0,10779.0,3972.0,587.0,12.0,4664.0,0
29,29,56760.0,2,1,3,24,0,-1,-1,-1,0,0,149142.0,105728.0,90746.0,82971.0,108887.0,124363.0,17636.0,1970.0,7819.0,21645.0,6459.0,13670.0,0
30,30,384957.0,2,2,1,39,0,-1,-1,-1,1,0,13108.0,15651.0,15289.0,32071.0,54392.0,42375.0,1586.0,327.0,9830.0,11082.0,5070.0,6936.0,0
31,31,32772.0,2,1,2,34,-2,-1,-1,-2,-2,-1,24439.0,15271.0,14406.0,-29439.0,-27679.0,-56363.0,20812.0,11481.0,9729.0,2287.0,131.0,140.0,0
32,32,27179.0,2,2,2,22,1,-1,-1,-1,0,0,-57189.0,-10599.0,2571.0,12994.0,5901.0,-3943.0,249.0,59.0,510.0,289.0,76.0,13780.0,0
33,33,467779.0,2,1,1,32,1,2,0,1,1,0,137036.0,76325.0,81878.0,76364.0,64187.0,51159.0,2976.0,11331.0,4274.0,6900.0,2484.0,565.0,0
34,34,38152.0,1,2,1,28,1,2,2,2,2,2,117337.0,81472.0,70372.0,119756.0,90393.0,76463.0,7207.0,18207.0,21940.0,50290.0,4601.0,18624.0,1
35,35,71612.0,2,2,3,24,1,0,1,2,1,1,44548.0,67900.0,89497.0,49323.0,33849.0,58851.0,26341.0,2815.0,33.0,896.0,531.0,2402.0,1
36,36,71624.0,1,2,1,32,1,2,0,0,1,1,-51476.0,-19841.0,-21774.0,-14967.0,-10208.0,-23425.0,4129.0,1228.0,8784.0,342.0,0.0,101.0,1
37,37,288345.0,2,2,2,51,0,-1,0,0,0,0,64799.0,83092.0,59961.0,94789.0,59826.0,46978.0,23583.0,3766.0,13466.0,491.0,32.0,654.0,1
38,38,17647.0,2,2,1,34,-1,-1,-1,0,1,0,-11770.0,3468.0,13067.0,28891.0,6425.0,-18280.0,6778.0,7963.0,9159.0,3674.0,97.0,129.0,0
39,39,159090.0,1,1,1,27,0,-1,0,0,-1,-1,57482.0,71114.0,83479.0,32480.0,24090.0,17316.0,558.0,2178.0,7.0,50.0,1.0,146.0,0
40,40,390451.0,1,2,2,41,0,-1,-2,-1,-2,-2,114972.0,74940.0,42183.0,44454.0,55215.0,97418.0,2205.0,4890.0,1958.0,5793.0,1138.0,6413.0,0
41,41,126468.0,2,1,2,31,-1,-1,-1,-1,-1,-1,92254.0,74654.0,62689.0,55116.0,52985.0,31850.0,7330.0,12083.0,2251.0,4999.0,357.0,32001.0,0
42,42,17393.0,2,2,1,42,2,3,3,1,1,3,28347.0,58549.0,56371.0,52840.0,54964.0,45390.0,8609.0,15615.0,7515.0,25652.0,9593.0,20759.0,0
43,43,320227.0,2,1,1,34,0,-1,-1,-2,-2,0,72234.0,23227.0,28868.0,66736.0,48707.0,55051.0,2511.0,1826.0,13403.0,5132.0,39.0,340.0,0
44,44,59496.0,1,2,2,23,2,0,0,0,-1,-1,41080.0,70863.0,49491.0,24656.0,33078.0,20808.0,7943.0,799.0,866.0,1108.0,190.0,293.0,1
45,45,21690.0,1,1,1,37,1,2,2,1,1,1,121003.0,81684.0,81009.0,43715.0,30708.0,61282.0,2036.0,732.0,150.0,19934.0,1320.0,12061.0,0
46,46,239894.0,1,1,2,40,0,-1,-1,-2,-1,-1,15449.0,29144.0,-1620.0,13961.0,16568.0,50227.0,8396.0,738.0,19300.0,8900.0,1493.0,11231.0,0
47,47,115129.0,1,2,2,36,3,3,4,1,2,1,116318.0,99839.0,111729.0,119453.0,137441.0,113475.0,249.0,795.0,3702.0,5614.0,435.0,1698.0,0
48,48,232130.0,2,2,1,49,0,0,-1,1,0,-1,13606.0,13110.0,-2571.0,-23838.0,-14823.0,-36457.0,4471.0,23824.0,802.0,748.0,116.0,4781.0,1
49,49,268942.0,2,2,1,41,1,-1,0,0,0,-1,34933.0,22390.0,41429.0,26084.0,48853.0,53615.0,10230.0,8366.0,750.0,212.0,233.0,6102.0,0
50,50,38238.0,1,3,1,38,1,0,0,-1,-2,0,2547.0,40869.0,29203.0,-8482.0,14778.0,-3203.0,529.0,10602.0,3362.0,20048.0,1029.0,11067.0,1
51,51,97410.0,2,2,1,41,-1,-1,-1,-2,0,-1,-44448.0,-25579.0,-66056.0,-21455.0,-12438.0,-5594.0,9920.0,399.0,4929.0,5641.0,4362.0,7131.0,0
52,52,88691.0,2,2,1,39,2,3,3,1,1,1,112392.0,106588.0,105503.0,117991.0,90220.0,70494.0,8402.0,9627.0,8894.0,6083.0,1603.0,10807.0,0
53,53,64943.0,2,2,2,35,1,0,0,-1,-1,-1,-49717.0,-14811.0,-34559.0,-47168.0,-32618.0,-27166.0,3618.0,11.0,531.0,101.0,0.0,221.0,1
54,54,271719.0,1,1,2,37,0,-1,-1,-1,-1,-1,102353.0,61803.0,77760.0,55334.0,35458.0,31152.0,15964.0,3035.0,2510.0,1017.0,294.0,2087.0,0
55,55,410476.0,1,2,3,33,0,0,0,0,1,1,185879.0,151677.0,153321.0,109100.0,60461.0,97296.0,3949.0,30711.0,6892.0,5187.0,1644.0,14744.0,0
56,56,83166.0,2,1,2,25,-1,-1,-1,-1,-1,-1,-28908.0,-13067.0,-21478.0,-7669.0,-16136.0,-55662.0,2231.0,416.0,1554.0,878.0,10.0,1131.0,0
57,57,252023.0,1,3,2,22,1,-1,-2,-2,-1,0,-47412.0,-27544.0,-60317.0,-17526.0,4373.0,-2467.0,2.0,223.0,268.0,1604.0,0.0,680.0,1
58,58,196535.0,1,1,1,39,-2,-1,-1,-1,-1,-1,-59024.0,-31583.0,-32347.0,-18007.0,-15083.0,-42870.0,3543.0,2637.0,6848.0,1705.0,1.0,186.0,0
59,59,82769.0,1,2,3,22,1,1,2,3,1,1,95021.0,54956.0,86494.0,100565.0,33523.0,42036.0,8709.0,16818.0,2407.0,7375.0,17070.0,4062.0,0
60,60,216896.0,1,2,2,26,1,2,1,1,1,1,109771.0,114842.0,133999.0,100247.0,134946.0,111217.0,6790.0,17602.0,12351.0,8745.0,285.0,8798.0,1
61,61,419903.0,2,1,1,33,-1,-2,-2,-2,-2,-1,-2055.0,-15830.0,-15314.0,26666.0,11444.0,43287.0,39.0,4755.0,1315.0,6324.0,190.0,10289.0,0
62,62,77861.0,1,1,1,35,0,0,0,0,0,2,63241.0,61844.0,100794.0,58980.0,69963.0,42833.0,3.0,6133.0,5644.0,7509.0,347.0,1256.0,0
63,63,50153.0,2,1,1,24,0,-1,0,0,0,0,-53728.0,-10844.0,-46063.0,-33698.0,-17826.0,-31698.0,1808.0,22.0,839.0,1375.0,1.0,3863.0,0
64,64,197384.0,1,2,1,48,0,0,-1,-1,-1,0,108539.0,62501.0,103212.0,62749.0,40652.0,44799.0,9799.0,12056.0,1568.0,5962.0,0.0,7677.0,0
65,65,28620.0,1,2,2,35,0,0,-1,-2,-1,-1,-103029.0,-32747.0,-60408.0,-61625.0,-23870.0,-47775.0,3589.0,651.0,132.0,883.0,1225.0,3876.0,0
66,66,295489.0,2,2,2,27,-1,-1,-2,-1,-1,-1,79561.0,53348.0,19980.0,27999.0,13.0,735.0,2928.0,20356.0,733.0,92.0,0.0,151.0,0
67,67,184537.0,2,3,2,30,-1,-2,-2,-1,-2,-1,-12925.0,-1311.0,-851.0,15979.0,-14172.0,-19584.0,8383.0,2732.0,733.0,1076.0,48.0,235.0,0
68,68,217115.0,2,2,2,26,0,1,0,0,0,1,31386.0,49033.0,40240.0,45693.0,49314.0,60827.0,7086.0,3779.0,16226.0,3525.0,5792.0,8215.0,1
69,69,23383.0,1,2,2,31,2,0,0,-1,-2,-1,-1366.0,-305.0,-21607.0,-21211.0,-15068.0,-13725.0,986.0,343.0,3445.0,417.0,0.0,3323.0,1
70,70,131988.0,2,5,1,69,1,0,0,-1,-1,-1,-1108.0,-2976.0,1938.0,6201.0,-12845.0,-14296.0,1273.0,6012.0,7041.0,1792.0,103.0,5572.0,0
71,71,238047.0,2,1,1,58,0,0,-1,-1,0,-1,-294.0,-1654.0,10605.0,-13225.0,337.0,-8539.0,3447.0,11917.0,2491.0,873.0,57.0,2721.0,0
72,72,155573.0,2,2,2,24,1,-1,0,0,0,0,-96552.0,-39125.0,-55040.0,-71420.0,-30835.0,-37582.0,247.0,376.0,553.0,527.0,9.0,1360.0,0
73,73,423716.0,2,2,1,52,0,0,-1,1,1,0,152898.0,140373.0,152255.0,175184.0,126761.0,102503.0,18547.0,39157.0,14219.0,29957.0,12736.0,65255.0,0
74,74,259754.0,2,2,1,55,-1,-1,-1,-1,-2,-1,12147.0,-4447.0,32515.0,-8699.0,-13665.0,3764.0,1338.0,3634.0,1276.0,756.0,76.0,863.0,0
75,75,61146.0,2,3,2,36,1,1,1,2,1,1,-14676.0,-11066.0,-19115.0,-13323.0,10396.0,21121.0,5712.0,5676.0,14208.0,14991.0,7172.0,20528.0,1
76,76,429811.0,2,1,1,38,0,0,0,-1,-1,-1,70294.0,74883.0,74911.0,60412.0,23617.0,5963.0,32790.0,6308.0,925.0,1922.0,16.0,8599.0,0
77,77,25761.0,1,3,2,34,1,-1,-1,0,0,0,-87663.0,-29107.0,-51890.0,-35154.0,-15751.0,-40910.0,2649.0,138.0,2584.0,117.0,1.0,19.0,1
78,78,339015.0,2,2,1,42,1,2,0,0,0,-1,119103.0,148814.0,143031.0,134294.0,65279.0,75944.0,6176.0,34169.0,4107.0,221.0,651.0,983.0,0
79,79,168744.0,2,2,2,36,1,0,0,1,0,-1,67750.0,48908.0,63281.0,33395.0,26684.0,28475.0,7923.0,11193.0,5103.0,7658.0,842.0,753.0,1
80,80,39821.0,2,2,2,24,0,0,0,0,1,-1,12482.0,752.0,49344.0,64503.0,16532.0,39664.0,109.0,14527.0,5459.0,399.0,84.0,66.0,1
81,81,307358.0,1,1,2,43,0,0,-1,-1,0,0,64046.0,34767.0,8593.0,22085.0,23698.0,20543.0,1419.0,4291.0,1534.0,828.0,0.0,6971.0,0
82,82,111251.0,1,1,1,40,0,0,1,-1,-1,-1,-77764.0,-35984.0,-31674.0,-50729.0,-8115.0,-12004.0,94.0,2707.0,2609.0,2738.0,2540.0,3746.0,0
83,83,140629.0,2,1,2,46,1,2,1,2,2,2,27319.0,44181.0,17965.0,-3017.0,19576.0,23971.0,2590.0,10149.0,8111.0,12650.0,892.0,2702.0,1
84,84,112176.0,1,3,2,27,-1,1,0,0,2,2,32507.0,28911.0,31008.0,22872.0,33358.0,31650.0,8937.0,2977.0,16551.0,5913.0,61.0,182.0,0
85,85,85002.0,2,2,2,26,-1,0,-1,0,0,-1,-104238.0,-34198.0,-57870.0,-70397.0,-31081.0,-34711.0,3740.0,10910.0,4101.0,2201.0,7.0,1062.0,0
86,86,30686.0,2,2,1,30,1,0,0,0,0,-1,-8485.0,31460.0,-5494.0,-13803.0,-5046.0,304.0,4120.0,5977.0,67.0,172.0,1078.0,1853.0,1
87,87,356938.0,2,1,2,23,-2,-1,-1,-1,-2,-2,81212.0,27774.0,51442.0,18558.0,-3863.0,20314.0,1269.0,2492.0,466.0,1074.0,1.0,31467.0,0
88,88,129869.0,2,1,1,39,1,2,1,0,0,0,118379.0,95329.0,70964.0,142422.0,81007.0,95396.0,6789.0,5231.0,13697.0,10119.0,634.0,10108.0,1
89,89,129036.0,2,1,2,38,0,-1,-1,-2,-1,-1,90055.0,79896.0,84016.0,73749.0,49092.0,53089.0,10158.0,950.0,21888.0,1044.0,189.0,1864.0,1
90,90,257376.0,1,2,2,34,0,0,0,-1,-1,-1,111582.0,53402.0,55386.0,100662.0,98272.0,85324.0,10011.0,2849.0,4012.0,2431.0,28.0,1407.0,0
91,91,311463.0,2,1,2,26,-1,-1,-1,0,-1,-1,154610.0,116462.0,111848.0,142954.0,76098.0,74421.0,8664.0,22085.0,28701.0,11633.0,1959.0,18466.0,0
92,92,56001.0,1,3,2,57,-1,-1,-1,-2,-2,-2,-72106.0,-28942.0,-42279.0,-67030.0,-51122.0,-63222.0,1611.0,609.0,651.0,610.0,16.0,5243.0,0
93,93,175763.0,2,2,1,47,2,2,3,4,4,3,87954.0,92207.0,83936.0,93396.0,105721.0,111954.0,4731.0,12702.0,15761.0,11516.0,7180.0,2149.0,1
