,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
0,0,25175.0,2,2,1,23,-1,2,2,2,2,0,12195.0,940.0,20919.0,16111.0,26982.0,10827.0,595.0,0.0,0.0,2247.0,1017.0,1774.0,0
1,1,17480.0,1,1,2,45,-1,-1,-1,-1,0,0,-2913.0,1001.0,2417.0,1451.0,505.0,-435.0,472.0,830.0,0.0,0.0,167.0,302.0,0
2,2,279385.0,2,2,2,31,1,-1,2,-1,0,0,18332.0,-240.0,17644.0,4307.0,16487.0,24699.0,6096.0,1261.0,5963.0,2492.0,3891.0,3643.0,1
3,3,483818.0,2,2,1,51,2,0,0,0,0,0,371315.0,163294.0,229680.0,251057.0,222788.0,394010.0,9300.0,13917.0,8681.0,7962.0,4781.0,4522.0,1
4,4,23392.0,2,2,2,30,1,-2,-2,-2,-2,-2,1362.0,989.0,-295.0,-127.0,1695.0,674.0,0.0,0.0,214.0,296.0,357.0,41.0,0
5,5,314260.0,2,2,2,32,0,0,0,0,0,0,349183.0,208565.0,10849.0,232672.0,18519.0,12342.0,14886.0,7039.0,6650.0,40269.0,9995.0,12396.0,0
6,6,68094.0,2,1,0,35,-1,-1,-1,-1,-1,-1,5.0,644.0,2060.0,3650.0,2570.0,681.0,0.0,0.0,185.0,261.0,826.0,2321.0,0
7,7,106366.0,1,2,1,40,0,0,0,0,0,0,119986.0,119575.0,122413.0,115769.0,102567.0,86168.0,2533.0,4600.0,1637.0,3882.0,4646.0,2769.0,0
8,8,264639.0,1,1,2,38,2,-1,-1,0,0,2,390.0,7787.0,46984.0,9716.0,12381.0,6123.0,6671.0,13034.0,184325.0,14294.0,8019.0,29399.0,0
9,9,241050.0,2,1,2,33,0,0,0,0,0,0,516772.0,271979.0,246681.0,265056.0,249906.0,275553.0,20519.0,10097.0,8463.0,3464.0,6921.0,5828.0,0
10,10,176625.0,1,1,1,57,-1,-1,-1,-1,-1,-1,1235.0,-2006.0,-211.0,601.0,9556.0,12402.0,874.0,1789.0,34.0,6050.0,4429.0,1277.0,0
11,11,54434.0,1,2,2,22,0,0,0,0,0,0,46921.0,9524.0,32470.0,22870.0,57.0,5698.0,413.0,891.0,1808.0,0.0,78.0,554.0,0
12,12,28587.0,1,2,1,39,0,0,0,0,0,0,5040.0,9603.0,15409.0,36360.0,14391.0,1736.0,689.0,512.0,815.0,749.0,152.0,0.0,0
13,13,276924.0,2,2,1,56,1,2,2,0,-1,0,5614.0,1968.0,17077.0,10563.0,11482.0,5.0,0.0,3303.0,3179.0,7010.0,5614.0,3984.0,1
14,14,279128.0,1,2,2,31,-1,-1,-1,-1,-1,-2,17405.0,1449.0,-388.0,-432.0,335.0,-1928.0,480.0,1872.0,288.0,227.0,97.0,118.0,0
15,15,294908.0,2,1,1,33,-1,-1,-1,-1,0,0,2660.0,301.0,2431.0,20853.0,6709.0,29043.0,1162.0,1586.0,2731.0,3585.0,3572.0,911.0,0
16,16,265145.0,1,2,1,47,-1,-1,2,-2,-2,-2,-538.0,925.0,-2952.0,-1054.0,968.0,1758.0,820.0,0.0,0.0,329.0,0.0,0.0,1
